,Keywords,Intencion,Etapa
0,.,,
1,,,
2,How can I create, Conversacional , Descubrimiento
3,a marketing campaign, Conversacional , Descubrimiento
4,that reflects my brand values , Conversacional , Consideración
5,create a marketing campaign , Conversacional , Descubrimiento
6,that leverages the power of chat marketing , Conversacional , Descubrimiento
7,Can you help me create, Conversacional , Descubrimiento
8,a marketing campaign, Conversacional , Descubrimiento
9,that leverages the power of chatbots? , Conversacional , Descubrimiento
